TitleGroupStr,TitleGroupCode,SuffixType,SuffixLen,Mode,说明,负责人,
F10FUND_HYTZ_QDII,EF,1,5,A,基金F10行业投资_QDII,,
F10FUND_JBXX,EG,1,5,A,基金F10客户端基金基本信息表,,
F10FUND_JJGK_FBS,EH,1,5,A,基金F10封闭式基金概况,,
F10FUND_JJGK_KFS,EI,1,5,A,基金F10开放式基金概况,,
F10FUND_JLGG_JJGSGGRY,EJ,1,5,A,基金F10经理高管_基金公司高管人员,,
F10FUND_JLGG_JJJL,EK,1,5,A,基金F10经理高管_基金经理,,
F10FUND_JYYJ,EL,1,5,A,基金F10交易佣金,,
F10FUND_ZCCG_QDII,EM,1,5,A,基金F10重仓持股_QDII,,
F10FUND_ZCCG_QSMGPMX,EN,1,5,A,基金F10重仓持股_前十名股票明细,,
F10FUND_ZQTZ_TZZH,EO,1,5,A,基金F10债券投资_投资组合,,
F10FUND_ZQTZ_ZCMX,EP,1,5,A,基金F10债券投资_重仓债券明细,,
F10FUND_ZYCYR,EQ,1,5,A,基金F10主要持有人,,
F10FUND_GPMX_BQZDMCGP_QDII,ER,1,5,A,基金F10股票明细_本期重大买出股票_QDII,,
F10FUND_GPMX_BQZDMRGP_QDII,ES,1,5,A,基金F10股票明细_本期重大买入股票_QDII,,
F10FUND_GPMX_QBCG_QDII,ET,1,5,A,基金F10股票明细_全部持股_QDII,,
F10FUND_ZQTZ_TZZH_QDII,EU,1,5,A,基金F10债券投资_投资组合_QDII,,
F10FUND_ZQTZ_ZCMX_QDII,EV,1,5,A,基金F10债券投资_重仓债券明细_QDII,,
F10FUND_HBJJXE,Fz,1,5,A,基金F10货币基金业务限额,补增,
债券类F10数据,,,,,,王瑞明,
F10BOND_DFZFZFX,EW,1,5,A,债券F10地方政府债发行,,
F10BOND_DFZFZQXX,EX,1,5,A,债券F10地方政府债券信息,,
F10BOND_FLSZZFX,EY,1,5,A,债券F10分离式转债发行,,
F10BOND_FLSZZTK,EZ,1,5,A,债券F10分离式转债条款,,
F10BOND_FLSZZXX,F0,1,5,A,债券F10分离式转债信息,,
F10BOND_GZXX,F1,1,5,A,债券F10国债信息,,
F10BOND_HGXX,F2,1,5,A,债券F10回购信息,,
F10BOND_KZZFX,F3,1,5,A,债券F10可转债发行,,
F10BOND_KZZTK,F4,1,5,A,债券F10可转债条款,,
F10BOND_KZZTZZGJ,F5,1,5,A,债券F10可转债调整转股价,,
F10BOND_KZZXX,F6,1,5,A,债券F10可转债信息,,
F10BOND_QYCYR,F7,1,5,A,债券F10债券持有人,,
F10BOND_QYZFX,F8,1,5,A,债券F10企业债发行,,
F10BOND_QYZXX,F9,1,5,A,债券F10企业债信息,,
F10BOND_ZQGG,Fa,1,5,A,债券F10债券公告,,
F10BOND_ZQXJL,Fb,1,5,A,债券F10债券现金流,,
F10BOND_ZQZG,Fc,1,5,A,债券F10债券转股,,
F10FOREX_DQJJ,Fd,1,5,A,外汇F10掉期简介-外汇币种,,
F10FOREX_JQJJ,Fe,1,5,A,外汇F10即期简介-外汇币种,,
F10FOREX_LLHH,Ff,1,5,A,外汇F10利率互换-外汇币种,,
F10FOREX_QQWHJBZL,Fg,1,5,A,外汇F10全球外汇基本资料表,,
F10FOREX_SHIBORLV,Fh,1,5,A,外汇F10SHIBOR利率-外汇币种,,
F10FOREX_WBDJQ,Fi,1,5,A,外汇F10外币对即期-外汇币种,,
F10FOREX_WHBZ_MB,Fj,1,5,A,外汇F10外汇币种模板,,
F10FOREX_XYCJ,Fk,1,5,A,外汇F10信用拆借-外汇币种,,
F10FOREX_YQJJ,Fl,1,5,A,外汇F10远期简介-外汇币种,,
F10FUTURES_BZHY,Fm,1,5,A,期货F10期货标准合约,,
F10FUTURES_CPGK,Fn,1,5,A,期货F10产品概况,,
F10FUTURES_FKBF,Fo,1,5,A,期货F10风控办法,,
F10FUTURES_JSXZ,Fp,1,5,A,期货F10结算细则,,
F10FUTURES_JYGZ,Fq,1,5,A,期货F10交易规则,,
F10FUTURES_WPHY,Fr,1,5,A,期货F10外盘合约,,
F10FUTURES_YXYS,Fs,1,5,A,期货F10影响因素,,
